"gbif.species","db.species","RLcat.europe","RL.catEU27","endemic.europe","endemic.eu","endemic","eu.assessment","note","check","kingdom","phylum","class","order","family","genus","gbif.species.id","EUSpecies","common.name","excluded","exclusion.reason","Species.Zoo.global","Species.Zoo.EU","Genus.Zoo.Global","NrIndivGlobal","NrIndivEU","MaxPopSizeEU","SecondMaxPopSizeEU","NrZoosGlobal","NrZoosEU","NrSustPopGlobal","NrSustPopEU","SustMetaPopGlobal","SustMetaPopEU","VC.category","perc.target.met.in.PAs.and.N2K","Representation.target.perc","Area.in.EU28.km2","db.subspecies","db.species.merged","TargetAreakm2","ProtectedAreakm2","Gap.km2","EEP","ESB","RLExsitu","RLExsituNeeded","Aark","Aze","ED.score","EDGE","ED.score.related","related.species","EDGE.Species","reason","Bodymass.g","THR_CCH","THR","LevelBreeding"
"Milvus migrans","Milvus migrans","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Milvus",5229167,1,"Black Kite","0",NA,1,1,0,801,594,159,70,99,60,1,1,1,1,"L",300.62,10,2243251.42,NA,"Milvus migrans",224325.142,674366.2418804,0,0,0,0,0,0,0,8.466388378,0,NA,NA,NA,NA,746.333333333333,0,0,4
"Milvus milvus","Milvus milvus","LC","LC",NA,"Yes*",NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Milvus",5229168,1,"Red Kite","0",NA,1,1,0,55,52,7,5,25,23,0,0,0,0,"L",337.82,10,1650927.62,NA,"Milvus milvus",165092.762,557716.3685884,0,0,0,0,0,0,0,8.634745,0,NA,NA,NA,NA,1080,0,0,4
"Miniopterus schreibersii","Miniopterus schreibersii","NT","NT",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Miniopteridae","Miniopterus",9796816,1,"Schreiber's Bent-winged Bat","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,260.63,10,1728549.66,NA,"Miniopterus schreibersii",172854.966,450511.8978858,0,0,0,0,0,0,0,8.429574395,0,NA,NA,NA,NA,11.168,0,0,1
"Monachus monachus","Monachus monachus","CR","CR",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Monachus",2434779,1,"Mediterranean Monk Seal","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,16.80653843,1,NA,NA,NA,NA,294881.3,1,1,2
"Monticola saxatilis","Monticola saxatilis","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Monticola",2490956,1,"Rufous-tailed Rock-thrush","0",NA,1,1,0,4,4,3,1,2,2,0,0,0,0,"L",400.41,10,1002616.66,NA,"Monticola saxatilis",100261.666,401457.7368306,0,0,0,0,0,0,0,5.282268,0,NA,NA,NA,NA,50.3,0,0,4
"Monticola solitarius","Monticola solitarius","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Monticola",2490955,1,"Blue Rock-thrush","0",NA,1,0,0,1,0,NA,NA,1,0,0,0,0,0,"L",241.82,10,894955.02,NA,"Monticola solitarius",89495.502,216418.0229364,0,0,0,0,0,0,0,5.278448,0,NA,NA,NA,NA,53.75,0,0,3
"Montifringilla nivalis","Montifringilla nivalis","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Passeridae","Montifringilla",2492371,1,"White-winged Snowfinch","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",670.3,10,204431.06,NA,"Montifringilla nivalis",20443.106,137030.139518,0,0,0,0,0,0,0,6.771495376,0,NA,NA,NA,NA,36.9,0,0,1
"Montivipera xanthina","Montivipera xanthina","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Viperidae","Montivipera",4820419,1,"Ottoman Viper","0",NA,1,1,0,9,2,2,0,4,1,0,0,0,0,"L",400.61,10,6260.14,NA,"Montivipera xanthina",626.014,2507.8746854,0,0,0,0,0,0,0,7.666950866,0,NA,NA,NA,NA,NA,0,0,4
"Morus bassanus","Morus bassanus","LC","LC","Yes","Yes*","Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Suliformes","Sulidae","Morus",2480964,1,"Northern Gannet","0",NA,1,1,0,45,31,13,9,5,4,0,0,0,0,"H",73.53,43.67,17851.56,NA,"Morus bassanus",7795.776252,5732.2342780956,2063.5419739044,0,0,0,0,0,0,13.334484,0,NA,NA,NA,NA,2999.5,1,0,4
"Motacilla alba","Motacilla alba","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla",9687165,1,"White Wagtail","0",NA,1,1,0,24,11,3,2,10,7,0,0,0,0,"L",226.71,10,4171181.22,NA,"Motacilla alba",417118.122,945648.4943862,0,0,0,0,0,0,0,5.295747,0,NA,NA,NA,NA,24.04,0,0,4
