"gbif.species","class","excluded","exclusion.reason","redlist.eu","endemic.europe.final","vuln.clim.change","perc.target.met.in.PAs.and.N2K","zoo.global","zoo.eu","genus.zoo.global","pop.zoo.eu","breeding.expertise","ed.value","ed.value.adjust","cost.captive","cost.wild","overlap.sum","cost.wild.adjust","Ki","Ai","Ii","Gi","ev.wild","ev.zoo","ev.both","ev.nothing","benefit.wild","benefit.zoo","benefit.both","cost.benefit.wild","cost.benefit.zoo","cost.benefit.both","net.strategy","cost.net.strategy","rank1.ben","rank2.ben.ed","rank3.costben","rank4.costben.ed"
"Somateria mollissima","Aves",0,NA,"VU",NA,"H",297.32,1,1,0,301,4,3.119958,0.0428565659340659,0,0,47.81,0,0.3,1,0.1,1,0.667,0.667,0.667,0.667,0,0,0,0,0,0,"N","N",149,229,217,228
"Streptopelia turtur","Aves",0,NA,"NT",NA,"H",257.51,1,1,0,151,4,4.619551,0.0634553708791209,0,0,59.82,0,0.3,1,0.01,1,0.7237,0.7237,0.7237,0.7237,0,0,0,0,0,0,"N","N",149,229,217,228
"Strix aluco","Aves",0,NA,"LC",NA,"H",282.46,1,1,0,194,4,8.773409536,0.120513867252747,0,0,70.48,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Strix nebulosa","Aves",0,NA,"LC",NA,"H",125.82,1,1,0,254,4,8.438987,0.115920151098901,0,0,69.56,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Strix uralensis","Aves",0,NA,"LC",NA,"H",134.1,1,1,0,171,4,5.934357,0.0815158928571429,0,0,72.15,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Tadorna ferruginea","Aves",0,NA,"NT",NA,"H",354.92,1,1,0,251,4,2.516869,0.0345723763736264,0,0,84.18,0,0.3,1,0.01,1,0.7237,0.7237,0.7237,0.7237,0,0,0,0,0,0,"N","N",149,229,217,228
"Tringa totanus","Aves",0,NA,"VU",NA,"H",327.72,1,1,0,187,4,11.08458031,0.152260718543956,0,0,62.44,0,0.3,1,0.1,1,0.667,0.667,0.667,0.667,0,0,0,0,0,0,"N","N",149,229,217,228
"Microtus bavaricus","Mammalia",0,NA,"CR","Yes",NA,0,0,0,1,0,2,4.802301418,0.0536569990837989,39676.9612836502,5529.60226,44.57,124.065565627103,0,0,0.999,0.1,1,0.01099,1,0.001,0.999,0.00999,0.999,80521.9397461693,2.51783394614865,250.998549304549,"W","W",1,1,1,1
"Nyctalus azoreum","Mammalia",0,NA,"EN","Yes",NA,15.14,0,0,1,0,2,5.751829798,0.064266254726257,42813.3426453504,333506.241493887,2.8,119109.371962103,0,0.1514,0.667,0.1,0.8990162,0.33967,0.900026038,0.333,0.5660162,0.00667000000000001,0.567026038,47.5207106440028,1.55792554093517,35.0183134821221,"B","W",5,4,37,39
"Crocidura canariensis","Mammalia",0,NA,"EN","Yes",NA,61.56,0,0,0,0,1,4.895310847,0.0546962105810056,27039.8016613171,166195.838116787,2.13,78026.2150783037,0,0.6156,0.667,0.05,0.5893948,0.336335,0.591447826,0.333,0.2563948,0.00333499999999998,0.258447826,32.8600842348553,1.23336703492578,24.5986127598705,"B","W",16,26,44,45
