"gbif.species","gbif.id","iucn.species","common.name","genus","family","order","class","excluded","exclusion.reason","redlist.europe","redlist.eu","endemic.europe.iucn","endemic.eu.iucn","endemic.europe.final","vuln.clim.change","aze","target.area.km2","protected.area.km2","gap.km2","perc.target.met.in.PAs.and.N2K","zoo.global","zoo.eu","genus.zoo.global","pop.zoo.global","pop.zoo.eu","max.pop.eu","second.max.pop.eu","nr.zoos.global","nr.zoos.eu","eep","esb","aark","redlist.exsitu","redlist.exsitu.needed","ed.value","edge","bodymass.g"
"Calonectris diomedea",2481521,"Calonectris diomedea","Scopoli's Shearwater","Calonectris","Procellariidae","Procellariiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,6380.522,27350.107553,0,428.65,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,9.311362,0,535
"Calotriton arnoldi",2431827,"Calotriton arnoldi","Montseny Brook Newt","Calotriton","Salamandridae","Caudata","Amphibia",0,NA,"CR","CR","Yes","Yes","Yes","L",1,184.23,183.161466,1.068534,99.42,1,1,0,128,128,95,33,2,2,1,0,1,1,0,15.12260587,0,NA
"Calotriton asper",2431824,"Calotriton asper","Pyrenean Brook Salamander","Calotriton","Salamandridae","Caudata","Amphibia",0,NA,"NT","NT","Yes","Yes","Yes","H",0,10810.608272,21728.2415658928,0,200.99,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,15.14611956,0,NA
"Canis aureus",5219219,"Canis aureus","Golden Jackal","Canis","Canidae","Carnivora","Mammalia",0,NA,"LC","NT",NA,NA,NA,NA,0,32073.382,125195.2392988,0,390.34,1,1,0,235,58,14,11,49,13,0,0,0,0,0,3.455508871,0,9658.7
"Canis lupus",5219173,"Canis lupus","Grey Wolf","Canis","Canidae","Carnivora","Mammalia",0,NA,"LC","LC",NA,NA,NA,NA,0,64158.327,155994.5562678,0,243.14,1,1,0,2526,895,20,17,404,147,1,0,0,1,0,3.25661457,0,27628.255
"Capella media",NA,"Gallinago media","Great Snipe","Capella","Scolopacidae","Charadriiformes","Aves",0,NA,"LC","VU",NA,NA,NA,"L",0,31968.912,109129.0780032,0,341.36,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,7.319355193,0,170.5
"Capra ibex",2441055,"Capra ibex","Alpine Ibex","Capra","Bovidae","Artiodactyla","Mammalia",0,NA,"LC","LC","Yes",NA,"Yes",NA,0,6437.205765,7921.625414409,0,123.06,1,1,0,369,241,29,21,35,25,0,0,0,0,0,6.188175603,0,69546.83
"Capra pyrenaica",2441054,"Capra pyrenaica","Iberian Wild Goat","Capra","Bovidae","Artiodactyla","Mammalia",0,NA,"LC","LC","Yes","Yes","Yes",NA,0,NA,NA,NA,NA,1,1,0,30,30,17,10,3,3,0,0,0,0,0,5.952764152,0,60898.77
"Capreolus capreolus",5220126,"Capreolus capreolus","European Roe Deer","Capreolus","Cervidae","Artiodactyla","Mammalia",0,NA,"LC","LC",NA,NA,NA,NA,0,386530.977,946111.8724029,0,244.77,1,1,0,123,80,8,7,42,26,0,0,0,0,0,6.652251741,0,22502.01
"Caprimulgus europaeus",8109681,"Caprimulgus europaeus","European Nightjar","Caprimulgus","Caprimulgidae","Caprimulgiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,288209.024,688560.1792384,0,238.91,1,1,0,1,1,1,0,1,1,0,0,0,0,0,5.244451,0,67
"Caprimulgus ruficollis",9411857,"Caprimulgus ruficollis","Red-necked Nightjar","Caprimulgus","Caprimulgidae","Caprimulgiformes","Aves",0,NA,"NT","NT",NA,NA,NA,"L",0,32862.259,84331.1290458,0,256.62,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,10.865568,0,68.5
"Carduelis carduelis",2494686,"Carduelis carduelis","European Goldfinch","Carduelis","Fringillidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,374685.326,789499.4504146,0,210.71,1,1,0,109,30,5,4,28,13,0,0,0,0,0,5.186519076,0,16
"Carduelis citrinella",2494632,"Carduelis citrinella","Alpine Citril Finch","Carduelis","Fringillidae","Passeriformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","L",0,32864.633,140098.6440157,0,426.29,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,5.20338452,0,12
"Carduelis corsicana",4408961,"Carduelis corsicana","Corsican Finch","Carduelis","Fringillidae","Passeriformes","Aves",0,NA,"LC","LC","Yes","Yes","Yes","L",0,NA,NA,NA,NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,3.319692,0,13.6
"Carpodacus erythrinus",2494459,"Carpodacus erythrinus","Common Rosefinch","Carpodacus","Fringillidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,135266.941,229629.1590416,0,169.76,1,1,0,3,2,1,0,3,2,0,0,0,0,0,5.774195056,0,24
"Carpodacus rubicilla",2494517,"Carpodacus rubicilla","Great Rosefinch","Carpodacus","Fringillidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,NA,NA,NA,NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,5.372831877,0,43.2
"Carpospiza brachydactyla",2492364,"Carpospiza brachydactyla","Pale Sparrow","Carpospiza","Passeridae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,12.56618895,0,22.3
"Castor fiber",4409131,"Castor fiber","Eurasian Beaver","Castor","Castoridae","Rodentia","Mammalia",0,NA,"LC","LC",NA,NA,NA,NA,0,24456.226,94498.857264,0,386.4,1,1,0,45,31,5,3,19,15,0,0,0,0,0,40.66998993,0,19000
"Cecropis daurica",9717283,"Cecropis daurica","Red-rumped Swallow","Cecropis","Hirundinidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,64249.427,177212.7695514,0,275.82,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,5.10434,0,22.2
"Cepphus grylle",2481312,"Cepphus grylle","Black Guillemot","Cepphus","Alcidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,9539.514,20674.9886922,0,216.73,1,0,0,14,0,NA,NA,1,0,0,0,0,0,0,7.855727463,0,378
"Certhia brachydactyla",7806848,"Certhia brachydactyla","Short-toed Treecreeper","Certhia","Certhiidae","Passeriformes","Aves",0,NA,"LC","LC","Yes","Yes","Yes","L",0,1366.198195,1058.6669813055,307.5312136945,77.49,1,1,0,1,1,1,0,1,1,0,0,0,0,0,9.359703,0,8.2
"Certhia familiaris",2487603,"Certhia familiaris","Eurasian Treecreeper","Certhia","Certhiidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,266949.399,669482.3977521,0,250.79,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,7.108739,0,9
"Cervus elaphus",2440958,"Cervus elaphus","Red Deer","Cervus","Cervidae","Artiodactyla","Mammalia",0,NA,"LC","LC",NA,NA,NA,NA,0,5807.264484,2536.6131266112,3270.6513573888,43.68,1,1,0,1899,926,107,79,165,63,0,0,0,0,0,5.255739812,0,240867.1
"Cettia cetti",2493012,"Cettia cetti","Cetti's Warbler","Cettia","Cettiidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,134518.616,363590.3671864,0,270.29,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,10.488174,0,13.35
"Chalcides bedriagai",8974077,"Chalcides bedriagai","Bedriaga's Skink","Chalcides","Scincidae","Squamata","Reptilia",0,NA,"NT","NT","Yes","Yes","Yes","H",0,37793.038,115884.7924194,0,306.63,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,10.88842692,0,NA
"Chalcides chalcides",5225173,"Chalcides chalcides","Italian Three-toed Skink","Chalcides","Scincidae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,"L",0,20511.463,35554.5699642,0,173.34,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,10.26856288,0,NA
"Chalcides ocellatus",5225137,"Chalcides ocellatus","Ocellated Skink","Chalcides","Scincidae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,"H",0,9072.179,19645.8036245,0,216.55,1,1,0,273,245,63,35,21,17,0,0,0,0,0,12.45182816,0,NA
"Chalcides sexlineatus",5225153,"Chalcides sexlineatus","Gran Canaria Skink","Chalcides","Scincidae","Squamata","Reptilia",0,NA,"LC","LC","Yes","Yes","Yes",NA,0,1578.166072,1096.036337004,482.129734996,69.45,1,1,0,21,21,18,3,2,2,0,0,0,0,0,10.54550235,0,NA
"Chalcides simonyi",NA,"Chalcides simonyi","Lisneja","Chalcides","Scincidae","Squamata","Reptilia",0,NA,"EN","EN","Yes","Yes","Yes",NA,0,NA,NA,NA,NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,10.78217,0,NA
"Chalcides striatus",5225191,"Chalcides striatus","Western Three-toed Skink","Chalcides","Scincidae","Squamata","Reptilia",0,NA,"LC","LC","Yes","Yes","Yes","L",0,52418.564,144413.14382,0,275.5,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,10.08279496,0,NA
"Chalcides viridanus",5225148,"Chalcides viridanus","West Canary Skink","Chalcides","Scincidae","Squamata","Reptilia",0,NA,"LC","LC","Yes","Yes","Yes",NA,0,2130.76,1307.008184,823.751816,61.34,1,1,0,1,1,1,0,1,1,0,0,0,0,0,10.78217353,0,NA
"Charadrius alexandrinus",2480311,"Charadrius alexandrinus","Kentish Plover","Charadrius","Charadriidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,43154.198,158388.8529194,0,367.03,1,1,0,6,1,1,0,2,1,0,0,0,0,0,10.331491,0,42.3
"Charadrius dubius",7937336,"Charadrius dubius","Little Ringed Plover","Charadrius","Charadriidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,329099.665,924835.878583,0,281.02,1,1,0,7,5,2,1,4,3,0,0,0,0,0,13.04996731,0,38.7
"Charadrius hiaticula",9566659,"Charadrius hiaticula","Common Ringed Plover","Charadrius","Charadriidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,96747.164,335141.8508124,0,346.41,1,1,0,39,26,12,2,12,10,0,0,0,0,0,13.29862738,0,64.05
"Charadrius leschenaultii",2480297,"Charadrius leschenaultii","Greater Sandplover","Charadrius","Charadriidae","Charadriiformes","Aves",0,NA,"NT","CR",NA,NA,NA,"L",0,NA,NA,NA,NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,8.150293,0,74.8
"Charadrius morinellus",2480281,"Eudromias morinellus","Eurasian Dotterel","Charadrius","Charadriidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,27857.689,146821.1641056,0,527.04,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,19.74832185,0,108.5
"Chersophilus duponti",2490674,"Chersophilus duponti","Dupont's Lark","Chersophilus","Alaudidae","Passeriformes","Aves",0,NA,"VU","VU",NA,NA,NA,"L",0,10765.03939,25434.558566753,0,236.27,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,14.70385,0,39.4
"Chioglossa lusitanica",2431938,"Chioglossa lusitanica","Golden-striped Salamander","Chioglossa","Salamandridae","Caudata","Amphibia",0,NA,"VU","VU","Yes","Yes","Yes","L",0,11980.689408,12984.6711803904,0,108.38,1,1,0,5,5,5,0,1,1,0,0,0,0,0,31.74674568,1,NA
"Chionomys nivalis",2438162,"Chionomys nivalis","European Snow Vole","Chionomys","Cricetidae","Rodentia","Mammalia",0,NA,"LC","LC",NA,NA,NA,NA,0,44985.407,232354.1256957,0,516.51,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,7.117812968,0,42.01
"Chlamydotis undulata",2474864,"Chlamydotis undulata","African Houbara","Chlamydotis","Otididae","Otidiformes","Aves",0,NA,"VU","VU",NA,NA,NA,"H",0,NA,NA,NA,NA,1,0,0,12,0,NA,NA,6,0,0,0,0,0,0,17.0438775,1,1555
"Chlidonias hybrida",2481121,"Chlidonias hybrida","Whiskered Tern","Chlidonias","Laridae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,41133.006,182778.6254616,0,444.36,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,4.0797383,0,83.9
"Chlidonias leucopterus",2481120,"Chlidonias leucopterus","White-winged Tern","Chlidonias","Laridae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,20154.687,110588.767569,0,548.7,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,3.610272781,0,54.2
"Chlidonias niger",2481119,"Chlidonias niger","Black Tern","Chlidonias","Laridae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,91197.151,288274.194311,0,316.1,1,0,0,1,0,NA,NA,1,0,0,0,0,0,0,3.608620874,0,65.3
