"db.species","col.species","x","a1","a2","a3","a4","a5","a6","a7","a8","a9","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a31","a32","a36","a37","a38","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a61","a62","a63","a66","a67","a68","a70","a71","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","a90","a91","a92","a93","a95","a99","a100","a101","a102","a103","a104","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Pseudepidalea balearica","Pseudepidalea balearica","a100",0,0,0,0,0,0.26,0.02,0.81,0,0,0,0,0,0.01,0,0.07,0,0.02,0.01,0,0.56,0.02,0.12,0,0,0,0,0.08,0,0,0.02,0,0,0,0,0.33,0,0,0.23,0,0.05,0,0,0.31,0,0.17,0,0.04,0.07,0,0,0,0.12,0,0.02,0,0.17,0.16,0.04,0.01,0,0,0.01,0.06,0,0.05,0,0.1,0,0.35,0,0,0,0.15,0,0,0,0,0,0,1,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","Pseudepidalea balearica",2422202
"Pseudepidalea boulengeri","Pseudepidalea boulengeri","a101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","Pseudepidalea boulengeri",2422225
"Pseudepidalea sicula","Pseudepidalea sicula","a102",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.42,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","Pseudepidalea sicula",2422209
"Pseudepidalea variabilis","Pseudepidalea variabilis","a103",0,0,0,0,0,0,0.34,1,0,1,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0.29,0.01,0,0.28,0,0,0,0,0.44,0,0,0,0,0.11,0.04,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0.22,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","Pseudepidalea variabilis",2422232
"Pseudepidalea viridis","Pseudepidalea viridis","a11",0,0,0,0.02,0.23,0,0.18,1,0.48,1,0,0,0,0,0,0,0,0,0,0.53,0.02,0,0,0,0,0,0,0,0.07,0,0,0,0.02,0.25,0,0,0,0,0.15,0,0.2,0.04,0,0,0,0,0.05,0.01,0.25,0,0,0.31,0.29,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.16,0,0.05,0.22,0.05,0.02,0,0.03,0,0.01,0,0.01,0,0,0,0,0.1,0.03,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","Pseudepidalea viridis",2422211
"Rana arvalis","Rana arvalis","a44",0,0,0,0.02,0.21,0,0.08,0.86,0.25,0.28,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,0,0.2,0,0,0,0,0,0,0,0.27,0,0,0.28,0.97,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.12,0,0.02,0.48,0.03,0.04,0,0,0,0.01,0,0.01,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana arvalis",2426789
"Rana dalmatina","Rana dalmatina","a49",0,0,0,0.33,0.18,0.1,0.55,1,0.41,0.4,0,0,0,0,0,0,0,0,0,0.67,0.16,0.02,0,0,0,0,0,0.02,0.07,0,0.11,0,0.02,0.19,0,0.11,0,0,1,0,0.33,0.07,0.01,0.1,0,0.06,0.07,0.02,0.48,0.01,0,0.49,0.76,0,0,0,0.47,0.04,0.01,0,0,0,0,0.02,0,0.02,0,0.6,0,0.23,0.47,0.06,0.33,0.05,0.05,0.15,0.06,0,0.07,0,0.13,0,0,0.08,0.04,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana dalmatina",2426760
"Rana graeca","Rana graeca","a52",0,0,0,0,0,0,0.83,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.73,0.01,0,1,0,0,0,0,0.69,0,0,0,0,0.29,0.19,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0.82,0.45,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana graeca",2426795
"Rana iberica","Rana iberica","a55",0.1,0,0,0.96,0,0,0,1,1,0,0.43,0.79,0.03,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0.51,0,0,0,0.21,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.67,0,0,0.4,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0.13,0.91,0,0,0,0.66,0,0,0.85,0,0.1,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana iberica",2426774
"Rana italica","Rana italica","a56",0,0,0,0,0,0.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.04,0,0,0,0,0,0.02,0,0,0.03,0,0,0,0,0.95,0,0,0.55,0,0.02,0,0,0.83,0,1,0,0.01,0.02,0,0,0,0.32,0,0,0,0.49,0.64,0.16,0.04,0,0,0,0.19,0,0.1,0,0.33,0,0.93,0,0,0,0.34,0,0,0,0,0,0,0.87,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana italica",2426815
